pagePath,started_AcceptedPP,submitted_email,conversion_pct
/personality-test.html,317945,173826,54.7
/p/bluedot/artificial-intelligence-quiz,191611,1,0.0
/how_rational_are_you_really_take_the_test.html,66275,32817,49.5
/philosophical_beliefs.html,35845,15104,42.1
/p/bluedot/biosafety-quiz,35813,8150,22.8
/p/asimov-press/rationality-test,29391,10762,36.6
/unique-traits-test,10743,7715,71.8
/what_is_your_time_really_worth_to_you.html,7384,4437,60.1
/intrinsic_values_test.html,7373,3623,49.1
/gender_continuum_test.html,6372,4221,66.2
/understanding-your-morality,5693,3566,62.6
/p/80000-hours/rationality-test,4420,2153,48.7
/predict_correlations.html,4304,2006,46.6
/is_your_memory_like_a_photograph.html,3607,1441,40.0
/can_you_guess_which_charities_work.html,3401,1579,46.4
/cult_assessment.html,3119,1088,34.9
/cognitive_defusion,2694,545,20.2
/create_your_custom_clearer_thinking_plan.html,2401,913,38.0
/dashboard.html,2242,0,0.0
/how-to-compliment.html,2216,196,8.8
/worlds_biggest_problems_quiz.html,2090,499,23.9
/cognitive-test-intro.html,1883,0,0.0
/political_bias_test.html,1823,1196,65.6
/lcq.html,1620,265,16.4
/personality.html,1485,939,63.2
/imposter_syndrome.html,1310,811,61.9
/decisionmaker.html,1228,84,6.8
/common_misconceptions.html,1176,692,58.8
/would_you_make_a_good_tech_startup_founder.html,1050,622,59.2
/can_you_detect_weak_arguments.html,893,544,60.9
/daily_ritual.html,838,159,19.0
/p/farmkind/worlds-biggest-problems-quiz,828,4,0.5
/social_biases.html,825,84,10.2
/rhetorical_fallacies.html,817,205,25.1
/biosafety_quiz.html,795,256,32.2
/kind_and_effective_communication.html,776,45,5.8
/question_of_evidence.html,772,183,23.7
/uncover_your_guiding_principles.html,752,301,40.0
/introduction.html,671,556,82.9
/faulty_reasoning_quiz.html,663,273,41.2
/nuanced_thinking_techniques.html,658,209,31.8
/p/giving-what-we-can/rationality-test,648,297,45.8
/flexible_thinking.html,633,93,14.7
/your_primal_world_beliefs.html,633,527,83.3
/sources_of_pleasure.html,604,448,74.2
/should_you_trust_your_thinking.html,548,496,90.5
/skeptical_seekers.html,517,419,81.0
/challenge_your_deepest_beliefs.html,473,44,9.3
/artificial_intelligence_quiz.html,462,210,45.5
/moodboosters.html,447,78,17.4
/explanation_freeze.html,415,102,24.6
/understanding_bayes_theorem.html,404,107,26.5
/mistakes.html,403,56,13.9
/your_quarterly_life_review.html,387,82,21.2
/overconfidence_analyzer.html,382,126,33.0
/change_behavior.html,379,103,27.2
/question_your_identity.html,373,105,28.2
/surpass_self-limiting-beliefs.html,359,39,10.9
/relationship_review.html,349,61,17.5
/planning_fallacy.html,334,73,21.9
/spark_the_mood_you_want.html,307,24,7.8
/program_yourself.html,287,71,24.7
/emotional_obstacles_to_doing_good.html,283,105,37.1
/overcome_procrastination.html,278,112,40.3
/credentialist_test.html,274,205,74.8
/how_to_do_more_good.html,261,15,5.7
/assign_clearerthinking_to_your_students.html,252,0,0.0
/life_assessment.html,236,15,6.4
/become_a_great_listener.html,234,67,28.6
/practice_self-compassion.html,227,70,30.8
/goal_trainer_ct.html,215,35,16.3
/sunk_costs.html,211,38,18.0
/productive_disagreement.html,209,18,8.6
/what_causes_match_your_values.html,209,63,30.1
/achieve_your_goals.html,206,0,0.0
/when_to_stop_exploring.html,195,76,39.0
/career_fulfillment_diagnostic.html,194,69,35.6
/defining_emotions.html,185,38,20.5
/building_happiness_habits.html,180,72,40.0
/hidden_meaning_of_sounds.html,169,33,19.5
/p/asimov-press/biosafety-quiz,163,74,45.4
/tactics_for_happier_living.html,161,119,73.9
/reframing_negative_emotions.html,148,33,22.3
/improve_your_frequency_predictions.html,147,91,61.9
/long-term_future_quiz.html,145,50,34.5
/pathkeeper_intro.html,141,0,0.0
/design_your_own_self_experiment.html,140,32,22.9
/retrocaster.html,137,89,65.0
/effective_trust_repair.html,126,15,11.9
/seek_criticism_tool.html,121,50,41.3
/savoring.html,113,9,8.0
/internal_family_systems.html,105,32,30.5
/enhancing_creativity.html,102,19,18.6
/what_to_know_about_suicide.html,98,19,19.4
/boost_your_productivity.html,97,27,27.8
/managing_arguments.html,96,22,22.9
/40_winks.html,94,36,38.3
/astrology_challenge.html,73,205,280.8
/earr_framework.html,69,32,46.4
/confrontation_aid.html,68,17,25.0
/p/high-impact-professionals/can-you-guess-which-charities-work,59,0,0.0
/fail-safing_your_plans.html,54,23,42.6
/staging/dashboard.html,39,0,0.0
/p/high-impact-professionals/worlds-biggest-problems-quiz,29,0,0.0
/p/nautilus/surprising-science-facts-quiz,28,2,7.1
/sources_of_pleasure_beta_test.html,23,20,87.0
/how_well_anchored_are_your_estimates.html,21,9,42.9
/p/consultants-for-impact/what-is-your-time-really-worth-to-you,13,1,7.7
/p/animal-charity-evaluators/worlds-biggest-problems-quiz,12,12,100.0
/p/80000-cats/rationality-test,10,0,0.0
/art_of_collaboration.html,5,57,1140.0
/p/rethink-priorities/can-you-guess-which-charities-work,5,0,0.0
/make_your_work_more_joyful.html,4,40,1000.0
/,3,3,100.0
/surpass_self-limiting-beliefs_beta.html,3,2,66.7
/p/giving-what-we-can/worlds-biggest-problems-quiz,2,7,350.0
/p/nautilus/rationality-test,2,0,0.0
/goal_trainer.html,1,0,0.0
/kind_and_effective_communication_backup_2023_07_01.html,1,0,0.0
/living_your_values.html,1,0,0.0
/p/ai-digest/rationality-test,1,0,0.0
/surpass_self-limiting-beliefs_backup_2023_07_01.html,1,0,0.0
/replace_unhelpful_coping_strategies.html,0,22,
/pathkeeper.html,0,11,
/favorite-color-fancy,0,2,
/achieve_your_goals_signup.html,0,1,
