"Title","Description","Started","Submitted","Conv","PrimaryText1","PrimaryText2","PrimaryText3","Headline1","Headline2","Headline3","ThankYouEmail","ImgHeadline1","ImgHeadline2","ImgHeadline3","ImageConcept"
"When Are You Overconfident?","This quick tool is designed to give you a clearer sense of how you rate your own reasoning chops - and how your confidence compares to others.","548","496","90.5","Most of us trust our reasoning more than we should. This quick tool shows how your self-rating stacks up. 🤔 Find out.","See how your confidence in your own reasoning compares to everyone else's - and where it might mislead you. Take the free test.","Where does your confidence outrun your accuracy? This quick, free tool maps it against thousands of others. Take a look.","Rate Your Reasoning Skills","The Overconfidence Tool","How Calibrated Is Your Confidence?","Thank you — we hope you found your overconfidence report valuable.

Seeing where your confidence outruns your reasoning is one thing; acting on it day to day is another. That gap shows up in real decisions — career moves, money, relationships — where a small miscalibration can cost a lot.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you make faster, surer progress toward what matters.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","How Sure Are You","The Confidence Trap","Test Your Calibration","A single weathered brass compass laid on a clean white surface, its needle subtly split into two faint ghosted directions, shot top-down in soft daylight; the quiet contradiction makes the eye linger and question its own certainty."
"Your Primal World Beliefs","Discover the beliefs that inform your personal worldview, whether you see the world as more safe than dangerous, more interesting than boring, or more meaningful than empty.","633","527","83.3","Deep down, do you read the world as safe or dangerous, rich or dull? This free tool reveals the beliefs shaping your lens. 🌍 Discover yours.","Uncover the core beliefs steering how you see everything - and start understanding why the world looks the way it does to you. Take the free test.","Safe or dangerous? Meaningful or empty? Your hidden 'primal' beliefs color it all. A free, science-based tool maps them. Find out.","Map Your Worldview","Your Hidden World Beliefs","Safe World or Dangerous One?","Thank you — we hope you found your Primal World Beliefs report valuable.

The deep beliefs you carry — whether the world feels safe or threatening, meaningful or empty — quietly shape how you act every day. When those beliefs hold you back, simply naming them rarely shifts them on its own.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan around how you actually see the world.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Safe Or Dangerous","Your Hidden Worldview","What Do You See","Split-screen of the exact same city street, one half lit warm and golden, the other cool and shadowed, divided by a crisp vertical line down the center; the instant same-scene-two-moods contrast stops the scroll and poses the question of how you read the world."
"Mental Traps","Scientists have discovered a slew of systematic errors in human thought. Learn about a few of the mind's mistakes in this brief introduction.","671","556","82.9","Your brain runs on shortcuts that quietly distort your thinking. This brief tool reveals a few of them. 🧠 Take a look.","Spot the systematic errors hiding in everyday reasoning - and start making sharper, clearer decisions. Take the free intro.","Scientists have catalogued dozens of predictable thinking errors. How many shape your choices? This free intro shows a few. Find out.","Spot Your Thinking Errors","The Mind's Hidden Mistakes","Which Mental Traps Catch You?","Thank you — we hope you found your Mental Traps report valuable.

Spotting your own cognitive biases is a real first step, but biases are stubborn — they keep steering decisions even after you can name them. Catching them in the moment, when it counts, is the hard part.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you think more clearly and decide better.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Your Brain Lies","Spot The Trap","15 Hidden Biases","A clean geometric paper maze in soft neutral tones viewed from above, with one tiny figure-shaped marble resting mid-path; minimalist and modern, it visually promises a puzzle about your own thinking."
"Skeptical Seekers","Take this mini-test to find out whether you have the two personality traits that are essential for discovering true things about the world.","517","419","81.0","Two personality traits matter most for finding what's true. This quick test shows where you land on both. 🔍 Find out.","Discover how your curiosity and skepticism combine - the mix that helps people uncover what's really true. Take the free mini-test.","What separates good truth-seekers from the rest? Two traits. This free mini-test measures yours. Take a look.","Measure Your Truth-Seeking Traits","The Two Traits of Seekers","Curious AND Skeptical Enough?","Thank you — we hope you found your Skeptical Seekers report valuable.

Knowing which traits help you find true things is useful; consistently putting careful, honest thinking into practice — especially on the questions that matter most to your life — is harder.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you reason well and make real progress toward your goals.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Question Everything","Truth Or Belief","Are You A Seeker","A single magnifying glass resting on a plain matte surface, its lens catching and bending the light into a sharp focused circle on the paper below; clean and curiosity-driven, it signals scrutiny without cliche."
"Credentialist Test","Do you care about formal qualifications? Take this mini-test to find out where you fall on the Credentialist to Non-Credentialist spectrum.","274","205","74.8","Do degrees and titles sway you more than you realize? This quick test places you on the credentialist spectrum. 🎓 Find out.","See exactly how much you weigh formal qualifications - and what that reveals about how you judge expertise. Take the free mini-test.","Credentials or competence: which actually drives your trust? This free mini-test reveals where you fall. Take a look.","Where You Fall On Credentials","The Credentialist Spectrum","Do Titles Sway Your Trust?","Thank you — we hope you found your Credentialist Test report valuable.

How much weight you give to credentials says something about how you judge yourself and others — and sometimes about where you feel you fall short. Understanding that lens is a good prompt to ask what kind of growth you actually want.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you make faster progress toward your goals.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Degrees Or Doubt","Do Titles Matter","Test Your Bias","A framed blank diploma hanging slightly crooked on a clean white wall, the certificate itself empty; the empty credential is quietly provocative and invites you to question how much paper proves."
"Your Greatest Sources of Pleasure","Discover what brings you the most joy and personal life satisfaction and review how to experience them more often.","604","448","74.2","What actually brings you the most joy - not what you assume? This free tool surfaces your real sources of pleasure. 😊 Discover them.","Pinpoint what truly satisfies you and learn simple ways to experience more of it, more often. Take the free test.","Most people chase the wrong joys. This free tool reveals where your real satisfaction comes from. Find out.","Find Your Real Sources Of Joy","What Truly Brings You Joy","Chasing The Right Kind Of Joy?","Thank you — we hope you found your Sources of Pleasure report valuable.

Knowing what brings you joy is the easy part; actually building more of it into a busy life — and protecting it from stress and routine — is where many of us get stuck.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you turn what you value into how you actually live.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Find Your Joy","What Lights You Up","Map Your Pleasures","An overhead flat-lay of small everyday joy objects (a coffee cup, headphones, a worn book, a houseplant) arranged in a soft radiating pattern on a warm pastel background; inviting and warm, it reads as a personal map of delight."
"Tactics for Happier Living","Take this test to get a personalized set of activities that can support you in adding fulfillment and meaning to your life.","161","119","73.9","Happiness is buildable with the right habits. This test hands you a personalized set of them. ✨ Take a look.","Get a tailored list of evidence-based activities to add real fulfillment and meaning to your days. Take the free test.","Which small actions actually move the needle on happiness? This free test builds your personalized set. Find out.","Your Personalized Happiness Plan","Tactics For A Happier Life","Want Habits That Build Fulfillment?","Thank you — we hope you found your Tactics for Happier Living report valuable.

A list of activities that could add meaning is a great start, but the real challenge is following through — turning good intentions into habits that stick when life gets busy.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you put more fulfillment into practice, week after week.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Small Daily Wins","Design Your Day","Build More Joy","A clean modern desk from above with a simple checklist where one item glows softly highlighted; bright and uncluttered, it suggests practical, doable steps toward feeling better."
"Unique Traits Test","Discover things you never knew about yourself with our comprehensive assessment that reveals 80+ unusual traits.","10743","7715","71.8","There are sides of you that standard personality quizzes miss entirely. This one reveals 80+ unusual traits. 🔮 Discover yours.","Uncover 80+ rare traits and finally see the quirks that make you genuinely one of a kind. Take the free test.","Most tests measure the same 5 traits. This free one reveals 80+ you've likely never seen. Find out.","Discover Your 80+ Rare Traits","Things You Never Knew About You","What Makes You One Of A Kind?","Thank you — we hope you found your Unique Traits report valuable.

Discovering dozens of unusual things about yourself is fascinating — and it often raises a bigger question: now that you know yourself a little better, what do you want to do with it?

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to turn self-understanding into real progress.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","80 Things About You","What Makes You Rare","You're One In Many","A single brightly colored origami crane standing among rows of identical plain white ones, shot in soft even light; the one-of-a-kind standout instantly signals individuality and curiosity about your own quirks."
"Gender Continuum Test","Take this fun test to learn about the relationship between gender and personality based on data from more than 15,000 people - and learn about yourself in the process!","6372","4221","66.2","How does your personality map onto gender patterns drawn from 15,000+ people? This fun test shows you. 🧬 Find out.","Learn something new about yourself by seeing how your personality compares across a huge gender dataset. Take the free test.","Built on data from 15,000+ people: where does your personality land on the gender continuum? This free test reveals it. Take a look.","See Where You Land","The Gender Continuum Test","Curious How Your Traits Compare?","Thank you — we hope you found your Gender Continuum report valuable.

Exploring how gender and personality relate in you can open up deeper questions about identity, how you show up with others, and what you want for yourself.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan around who you are and where you'd like to go.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Beyond The Binary","Where Do You Land","Explore The Spectrum","A smooth horizontal gradient ribbon flowing across the frame through a wide range of soft hues, with a single subtle marker dot hovering above it; modern and clean, the spectrum visual reframes a familiar question elegantly."
"Political Bias Test","Learn to spot and overcome your political biases and test your policy knowledge with this fun, free quiz.","1823","1196","65.6","Everyone has political blind spots - even the well-informed. This free quiz helps you spot yours. 🗳️ Find out.","Learn to recognize and overcome political bias while testing how well you actually know the policies. Take the free quiz.","Think you're immune to political bias? This fun, free quiz tests your knowledge and your blind spots. Take a look.","Spot Your Political Blind Spots","The Political Bias Quiz","How Well Do You Know Policy?","Thank you — we hope you found your Political Bias report valuable.

Seeing where your political reasoning bends is valuable, but staying even-handed in the heat of real conversations — and not letting bias quietly drive your conclusions — takes ongoing practice.

That's where Clearer Thinking Plus can help. In our Navigator membership ($99/month, cancel anytime), you get one-on-one 45-minute video sessions with an evidence-based coach trained in CBT, ACT, and Motivational Interviewing, who builds a personalized plan to help you think more clearly and make better decisions.

Curious? Learn more here: https://www.clearerthinking.org/coaching

— The Clearer Thinking Team","Spot Your Bias","Left Or Right","See Your Lean","A pair of identical reading glasses on a neutral background, one lens tinted faint blue and the other faint red; the subtle two-tone lenses cleverly hint at how perspective colors what we see."
